,Genus,narb,nira,amt,cyns,urea,glna,glsf,gdha,phob,ptra,phor,arsc,feob,mtnd,No_genomes
0,Parasynechococcus,+,+,+,+,+,+,+,-,+,+,+,+/-,-,+,45
1,Pseudosynechococcus,+/-,+,+,+,+,+,+,-,+,+,+,+/-,+/-,+,41
2,Enugrolinea,+,-,+,+,+,+,+,+,-,-,-,-,+/-,+,11
3,Leptococcus,+,+,+,-,+,+,-,-,-,-,-,-,-,-,8
4,Regnicoccus,-,-,-,+/-,+,+,+,-,+/-,+,-,-,-,+,8
5,Synechospongium,-,+,+,+,+,+,-,-,+/-,-,-,-,-,-,8
6,Inmanicoccus,+,+,+,+,+,+,+,-,+,+,+,-,-,+,7
7,Synechococcus,+,+,+,+,-,+,+,-,-,-,-,-,-,+,5
8,Lacustricoccus,-,-,+,-,+,-,+,-,+,+,-,-,-,+,3
9,Magnicoccus,+,+,+,+,+,+,+,-,-,-,-,-,-,+,3
