Genome,K-group
Thermosynechococcus vulcanus NIES-2134,2
Thermosynechococcus sp. PCC 6715,2
Thermosynechococcus vulcanus BP-1,2
Thermosynechococcus elongatus PKUAC-SCTE542,2
Thermosynechococcus sp. NK55a,2
Thermosynechococcus sp. CL-1,2
Synechococcus elongatus PCC 6301,2
Synechococcus elongatus PCC 7942,2
Synechococcus sp. PCC 11801,2
Synechococcus elongatus UTEX 3055,2
Synechococcus elongatus UTEX 2973,2
Enugrolinea euryhalinus PCC 7002,2
Enugrolinea euryhalinus PCC 8807,2
Enugrolinea euryhalinus PCC 7117,2
Enugrolinea sp. PCC 7003,2
Enugrolinea euryhalinus PCC 73109,2
Enugrolinea euryhalinus NKBG042902,2
Enugrolinea sp. NKBG15041c,2
Enugrolinea sp. NIES-970,2
Enugrolinea euryhalinus PCC_7002,2
Enugrolinea euryhalinus OG1,2
Enugrolinea euryhalinus BDU 130192,2
Enugrolinea Euryhalinus PCC 11901,2
Synechospongium sp. SP3,0
Synechospongium sp. SB0662_bin_14,0
Synechospongium sp. SB0666_bin_14,0
Synechospongium sp. SB0667_bin_8,0
Synechospongium sp. SB0668_bin_13,0
Synechospongium sp. SB0668_bin_15,0
Synechospongium sp. SB0675_bin_6,0
Synechospongium sp. SB0675_bin_7,0
Synechospongium sp. SB0677_bin_5,0
Inmanicoccus mediterranei RCC307,1
Inmanicoccus sp. TMED19,1
Lacustricoccus lacustris TousB,1
Lacustricoccus lacustris TousA,1
Magnicoccus sudiatlanticus CB0101,1
Magnicoccus indicus CB0205,1
Magnicoccus indicus XM-24,1
Regnicoccus antarcticus WH 5701,1
Regnicoccus sp. BO 8801,1
Regnicoccus sp. MW101C3,1
Regnicoccus sp. SynAce01,1
Regnicoccus sp. 1G10,1
Regnicoccus sp. 8F6,1
Regnicoccus sp. Ace-Pa,1
Pseudosynechococcus pacificus WH 7803,1
Pseudosynechococcus sp. WH 8020,1
Pseudosynechococcus subtropicalis WH 7805,1
Pseudosynechococcus sp. WH 8101,1
Pseudosynechococcus benguelii CC9311,1
Pseudosynechococcus sudipacificus WH 8016,1
Pseudosynechococcus gyrus RS9916,1
Pseudosynechococcus equatorialis RS9917,1
Pseudosynechococcus sp. UW105,1
Pseudosynechococcus sp. UW140,1
Pseudosynechococcus sp. MIT S9504,1
Pseudosynechococcus sp. MIT S9508,1
Pseudosynechococcus sp. MIT S9509,1
Pseudosynechococcus sp. NAT40,1
Pseudosynechococcus sp. NP17,1
Pseudosynechococcus sp. BS55D,1
Pseudosynechococcus sp. BS56D,1
Pseudosynechococcus sp. MED-G68,1
Pseudosynechococcus sp. MED-G135,1
Pseudosynechococcus sp. UW179A,1
Pseudosynechococcus sp. GEYO,1
Pseudosynechococcus sudipacificus UW179B,1
Parasynechococcus marenigrum WH 8103,1
Parasynechococcus marenigrum WH 8102,1
Parasynechococcus africanus CC9605,1
Parasynechococcus sp. CC9616,1
Parasynechococcus marearabicus WH 8109,1
Parasynechococcus nordiatlanticus BL107,1
Parasynechococcus chilensis CC9902,1
Parasynechococcus sp. UW86,1
Parasynechococcus sp. UW69,1
Parasynechococcus sp. UW106,1
Parasynechococcus sp. KORDI-49,1
Parasynechococcus sp. KORDI-52,1
Parasynechococcus sp. KORDI-100,1
Parasynechococcus sp. REDSEA-S01_B1,1
Parasynechococcus sp. REDSEA-S02_B4,1
Parasynechococcus marenigrum YX04-3,1
Parasynechococcus sp. N19,1
Parasynechococcus sp. N26,1
Parasynechococcus sp. N32,1
Parasynechococcus sp. N5,1
