Genome,K-group
Inmanicoccus mediterranei RCC307,0
Lacustricoccus lacustris TousA,0
Lacustricoccus lacustris TousB,0
Magnicoccus sudiatlanticus CB0101,0
Pseudosynechococcus equatorialis RS9917,0
Pseudosynechococcus pacificus WH 7803,0
Pseudosynechococcus sp. BS55D,0
Pseudosynechococcus sp. BS56D,0
Pseudosynechococcus sp. WH 8101,0
Pseudosynechococcus subtropicalis WH 7805,0
Regnicoccus sp. 8F6,0
Synechospongium sp. SB0662_bin_14,1
Synechospongium sp. SB0666_bin_14,1
Synechospongium sp. SB0667_bin_8,1
Synechospongium sp. SB0668_bin_13,1
Synechospongium sp. SB0668_bin_15,1
Synechospongium sp. SB0675_bin_6,1
Synechospongium sp. SB0675_bin_7,1
Synechospongium sp. SB0677_bin_5,1
Synechospongium sp. SP3,1
Enugrolinea Euryhalinus PCC 11901,2
Enugrolinea euryhalinus BDU 130192,2
Enugrolinea euryhalinus NKBG042902,2
Enugrolinea euryhalinus OG1,2
Enugrolinea euryhalinus PCC 7002,2
Enugrolinea euryhalinus PCC 7117,2
Enugrolinea euryhalinus PCC 73109,2
Enugrolinea euryhalinus PCC 8807,2
Enugrolinea euryhalinus PCC_7002,2
Enugrolinea sp. NIES-970,2
Enugrolinea sp. NKBG15041c,2
Enugrolinea sp. PCC 7003,2
Inmanicoccus sp. TMED19,3
Pseudosynechococcus benguelii CC9311,3
Pseudosynechococcus gyrus RS9916,3
Pseudosynechococcus sp. MED-G135,3
Pseudosynechococcus sp. MED-G68,3
Pseudosynechococcus sp. NAT40,3
Pseudosynechococcus sp. NP17,3
Pseudosynechococcus sp. UW105,3
Pseudosynechococcus sp. UW140,3
Pseudosynechococcus sp. WH 8020,3
Pseudosynechococcus sudipacificus UW179B,3
Pseudosynechococcus sudipacificus WH 8016,3
Leptococcus springii JA-2-3-Ba,4
Leptococcus yellowstonii 60AY4M2,4
Leptococcus yellowstonii 63AY4M1,4
Leptococcus yellowstonii 63AY4M2,4
Leptococcus yellowstonii 65AY640,4
Leptococcus yellowstonii 65AY6A5,4
Leptococcus yellowstonii 65AY6Li,4
Leptococcus yellowstonii JA-3-3Ab,4
Thermosynechococcus elongatus PKUAC-SCTE542,5
Thermosynechococcus sp. CL-1,5
Thermosynechococcus sp. NK55a,5
Thermosynechococcus sp. PCC 6715,5
Thermosynechococcus vulcanus BP-1,5
Thermosynechococcus vulcanus NIES-2134,5
Parasynechococcus africanus CC9605,6
Parasynechococcus chilensis CC9902,6
Parasynechococcus marearabicus WH 8109,6
Parasynechococcus marenigrum WH 8102,6
Parasynechococcus marenigrum WH 8103,6
Parasynechococcus marenigrum YX04-3,6
Parasynechococcus nordiatlanticus BL107,6
Parasynechococcus sp. CC9616,6
Parasynechococcus sp. KORDI-100,6
Parasynechococcus sp. KORDI-49,6
Parasynechococcus sp. KORDI-52,6
Parasynechococcus sp. N19,6
Parasynechococcus sp. N26,6
Parasynechococcus sp. N32,6
Parasynechococcus sp. N5,6
Parasynechococcus sp. REDSEA-S01_B1,6
Parasynechococcus sp. REDSEA-S02_B4,6
Parasynechococcus sp. UW106,6
Parasynechococcus sp. UW69,6
Parasynechococcus sp. UW86,6
Synechococcus elongatus PCC 6301,7
Synechococcus elongatus PCC 7942,7
Synechococcus elongatus UTEX 2973,7
Synechococcus elongatus UTEX 3055,7
Synechococcus sp. PCC 11801,7
Magnicoccus indicus CB0205,8
Magnicoccus indicus XM-24,8
Pseudosynechococcus sp. GEYO,8
Pseudosynechococcus sp. MIT S9504,8
Pseudosynechococcus sp. MIT S9508,8
Pseudosynechococcus sp. MIT S9509,8
Pseudosynechococcus sp. UW179A,8
Regnicoccus antarcticus WH 5701,9
Regnicoccus sp. 1G10,9
Regnicoccus sp. Ace-Pa,9
Regnicoccus sp. BO 8801,9
Regnicoccus sp. MW101C3,9
Regnicoccus sp. SynAce01,9
