Genus,# genomes,# species*,Type Genome,NCBI name,Lifestyle,GC content (%),Genome size (Mbps)
Pseudosynechococcus,41,21,Pseudosynechococcus subtropicalis WH 7805,Synechococcus sp.,Marine (oceanic),56.43 ± 3.19,2.22 ± 0.48
Synechospongium,28,7,Synechospongium spongiarum 15L,Candidatus Synechococcus spongiarum,Symbiont,61.56 ± 1.14,1.86 ± 0.28
Enugrolinea,12,3,Enugrolinea euryhalinus PCC 7002,Synechococcus sp.,Freshwater,49.26 ± 0.1,3.33 ± 0.11
Regnicoccus,9,7,Regnicoccus antarcticus WH 5701,Synechococcus sp.,Marine (coastal),65.36 ± 2.46,2.79 ± 0.51
Inmanicoccus,8,5,Inmanicoccus mediterranei RCC307,Synechococcus sp.,Marine (coastal),61.04 ± 1.55,1.78 ± 0.27
Leptococcus,8,2,Leptococcus yellowstonii JA-3-3Ab,Synechococcus sp.,Thermophilic,56.34 ± 2.74,3.06 ± 0.1
Thermosynechococcus,6,5,Thermosynechococcus vulcanus NIES-2134,Thermosynechococcus vulcanus,Thermophilic,53.65 ± 0.27,2.61 ± 0.06
Synechococcus,5,2,Synechococcus elongatus PCC 6301,Synechococcus elongatus,Freshwater,55.27 ± 0.25,2.75 ± 0.08
Lacustricoccus,3,2,Lacustricoccus lacustris TousA,Synechococcus lacustris,Brackish,51.81 ± 0.72,1.98 ± 0.62
Magnicoccus,3,2,Magnicoccus sudiatlanticus CB0101,Synechococcus sp.,Marine (coastal),63.43 ± 0.56,2.53 ± 0.23
