Genus,2-means,3-means,4-means
Leptococcus,Freshwater/Thermal,Freshwater/Thermal,Thermal
Thermosynechococcus,Freshwater/Thermal,Freshwater/Thermal,Thermal
Synechococcus,Freshwater/Thermal,Freshwater/Thermal,Freshwater
Enugrolinea,Freshwater/Thermal,Freshwater/Thermal,Freshwater
Synechospongium,Seawater,Symbiont,Symbiont
Regnicoccus,Seawater,Seawater,Seawater
Pseudosynechococcus,Seawater,Seawater,Seawater
Parasynechococcus,Seawater,Seawater,Seawater
Magnicoccus,Seawater,Seawater,Seawater
Lacustricoccus,Seawater,Seawater,Seawater
Inmanicoccus,Seawater,Seawater,Seawater
