assembly_accession;bioproject;biosample;wgs_master;excluded_from_refseq;refseq_category;relation_to_type_material;taxid;species_taxid;organism_name;infraspecific_name;isolate;version_status;assembly_level;release_type;genome_rep;seq_rel_date;asm_name;submitter;gbrs_paired_asm;paired_asm_comp;ftp_path;filename;Completeness;;Contamination;directory;contigs_file;proteins_file;genes_file;Size;GC;New_Genus;New_Species;Strain;TypeSpecies
GCA_003990665.2;PRJDB5665;SAMD00081177;;;na;;2005468;32053;Thermosynechococcus elongatus NIES-2134;strain=NIES-2134;;latest;Complete Genome;Major;Full;2017/10/25;ASM399066v2;Toyohashi University of Technology;GCF_003990665.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/990/665/GCA_003990665.2_ASM399066v2;GCA_003990665.2_ASM399066v2;99.73;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_003990665.2;/home/vini/data/prosyn/processing/genomic_fna/GCA_003990665.2_ASM399066v2_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_003990665.2_ASM399066v2_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_003990665.2_ASM399066v2_genomic_prodigal_genes.fna;2.571271;0.5391952073507615;Thermosynechococcus;elongatus;NIES-2134;yes
GCA_002754935.1;PRJNA352894;SAMN06008796;;;na;assembly from type material;1917166;33070;Synechococcus lividus PCC 6715;strain=PCC 6715;;latest;Complete Genome;Major;Full;2017/11/06;ASM275493v1;Peking University Shenzhen Graduate School;GCF_002754935.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/754/935/GCA_002754935.1_ASM275493v1;GCA_002754935.1_ASM275493v1;98.96;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_002754935.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_002754935.1_ASM275493v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_002754935.1_ASM275493v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_002754935.1_ASM275493v1_genomic_prodigal_genes.fna;2.659739;0.5351479976042762;Thermosynechococcus;sp.;PCC 6715;no
GCA_000011345.1;PRJNA308;SAMD00061106;;;reference genome;;197221;146786;Thermosynechococcus elongatus BP-1;strain=BP-1;;latest;Complete Genome;Major;Full;2004/05/11;ASM1134v1;Kazusa;GCF_000011345.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/345/GCA_000011345.1_ASM1134v1;GCA_000011345.1_ASM1134v1;99.73;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_000011345.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_000011345.1_ASM1134v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_000011345.1_ASM1134v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_000011345.1_ASM1134v1_genomic_prodigal_genes.fna;2.593857;0.5391792993985405;Thermosynechococcus;elongatus;BP-1;
GCA_003555505.1;PRJNA489155;SAMN09949183;;;na;;2016101;146786;Thermosynechococcus vulcanus PKUAC-SCTE542;strain=PKUAC-SCTE542;;latest;Complete Genome;Major;Full;2018/09/13;ASM355550v1;Peking University Shenzhen Graduate School;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/555/505/GCA_003555505.1_ASM355550v1;GCA_003555505.1_ASM355550v1;94.34;;0.27;/home/vini/data/prosyn/./genbank/bacteria/GCA_003555505.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_003555505.1_ASM355550v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_003555505.1_ASM355550v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_003555505.1_ASM355550v1_genomic_prodigal_genes.fna;2.648728;0.5325118320944997;Thermosynechococcus;vulcanus;PKUAC-SCTE542;yes
GCA_000505665.1;PRJNA218025;SAMN02641554;;;na;;1394889;1394889;Thermosynechococcus sp. NK55a;strain=NK55;;latest;Chromosome;Major;Full;2013/12/11;ASM50566v1;PNNL;GCF_000505665.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/505/665/GCA_000505665.1_ASM50566v1;GCA_000505665.1_ASM50566v1;99.73;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_000505665.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_000505665.1_ASM50566v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_000505665.1_ASM50566v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_000505665.1_ASM50566v1_genomic_prodigal_genes.fna;2.520064;0.5380724457791548;Thermosynechococcus;sp.;NK55a;
GCA_008386235.1;PRJNA544238;SAMN11823200;;;na;;2583530;2583530;Thermosynechococcus sp. CL-1;strain=CL-1;;latest;Complete Genome;Major;Full;2019/09/16;ASM838623v1;Academia Sinica;GCF_008386235.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/386/235/GCA_008386235.1_ASM838623v1;GCA_008386235.1_ASM838623v1;100.0;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_008386235.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_008386235.1_ASM838623v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_008386235.1_ASM838623v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_008386235.1_ASM838623v1_genomic_prodigal_genes.fna;2.647823;0.5347781932553649;Thermosynechococcus;sp.;CL-1;
GCA_000586015.1;PRJNA238381;SAMN02643444;JENA00000000.1;;na;;1451353;431041;Candidatus Synechococcus spongiarum SH4;strain=SH4;;latest;Contig;Major;Full;2014/03/07;SynSpo.0;The Hong Kong University of Science and Technology;GCF_000586015.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/586/015/GCA_000586015.1_SynSpo.0;GCA_000586015.1_SynSpo.0;83.83;;1.22;/home/vini/data/prosyn/./genbank/bacteria/GCA_000586015.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_000586015.1_SynSpo.0_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_000586015.1_SynSpo.0_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_000586015.1_SynSpo.0_genomic_prodigal_genes.fna;1.658709;0.6305156600705729;Synechospongium;sp.;SH4;no
GCA_001007625.1;PRJNA273429;SAMN03291887;JXUO00000000.1;"derived from metagenome ; fragmented assembly ; genome length too large";na;;1608213;431041;Candidatus Synechococcus spongiarum 142;;142;latest;Scaffold;Major;Full;2015/05/14;ASM100762v1;Haifa University- The Leon H. Charney School of Marine Sciences;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/007/625/GCA_001007625.1_ASM100762v1;GCA_001007625.1_ASM100762v1;87.36;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_001007625.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_001007625.1_ASM100762v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_001007625.1_ASM100762v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_001007625.1_ASM100762v1_genomic_prodigal_genes.fna;2.271413;0.5788718300018535;Synechospongium;sp.;142;no
GCA_001007635.1;PRJNA274222;SAMN03323802;JYFQ00000000.1;derived from metagenome;na;;1608419;431041;Candidatus Synechococcus spongiarum 15L;;15L;latest;Scaffold;Major;Full;2015/05/14;ASM100763v1;University of Wuerzburg;GCF_001007635.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/007/635/GCA_001007635.1_ASM100763v1;GCA_001007635.1_ASM100763v1;89.95;;1.22;/home/vini/data/prosyn/./genbank/bacteria/GCA_001007635.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_001007635.1_ASM100763v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_001007635.1_ASM100763v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_001007635.1_ASM100763v1_genomic_prodigal_genes.fna;2.209101;0.5870872359389634;Synechospongium;spongiarum;15L;yes
GCA_001007665.1;PRJNA255756;SAMN03003633;JXQG00000000.1;derived from metagenome;na;;1604020;431041;Candidatus Synechococcus spongiarum SP3;;SP3;latest;Contig;Major;Full;2015/05/14;ASM100766v1;Haifa University- The Leon H. Charney School of Marine Sciences;GCF_001007665.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/007/665/GCA_001007665.1_ASM100766v1;GCA_001007665.1_ASM100766v1;96.06;;0.36;/home/vini/data/prosyn/./genbank/bacteria/GCA_001007665.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_001007665.1_ASM100766v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_001007665.1_ASM100766v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_001007665.1_ASM100766v1_genomic_prodigal_genes.fna;2.129964;0.6093135846427451;Synechospongium;sp.;SP3;no
