assembly_id	label	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree
GCA_000007925.1_ASM792v1_genomic_prodigal_proteins	Prochlorococcus_marinus_CCMP1375	NA	73	72	98.65	1.35	69	Yes
GCA_000010065.1_ASM1006v1_genomic_prodigal_proteins	Synechococcus_elongatus_PCC_6301	NA	72	71	97.30	1.35	68	Yes
GCA_000011345.1_ASM1134v1_genomic_prodigal_proteins	Thermosynechococcus_vulcanus_BP-1	NA	70	69	94.59	1.35	65	Yes
GCA_000012505.1_ASM1250v1_genomic_prodigal_proteins	Parasynechococcus_chilensis_CC9902	NA	71	70	95.95	1.35	68	Yes
GCA_000012525.1_ASM1252v1_genomic_prodigal_proteins	Synechococcus_elongatus_PCC_7942	NA	72	71	97.30	1.35	68	Yes
GCA_000012625.1_ASM1262v1_genomic_prodigal_proteins	Parasynechococcus_africanus_CC9605	NA	73	72	98.65	1.35	70	Yes
GCA_000013205.1_ASM1320v1_genomic_prodigal_proteins	Leptococcus_yellowstonii_JA-3-3Ab	NA	73	70	98.65	4.05	66	Yes
GCA_000013225.1_ASM1322v1_genomic_prodigal_proteins	Leptococcus_springii_JA-2-3-Ba	NA	72	70	97.30	2.70	67	Yes
GCA_000014585.1_ASM1458v1_genomic_prodigal_proteins	Pseudosynechococcus_benguelii_CC9311	NA	73	71	98.65	2.70	70	Yes
GCA_000019485.1_ASM1948v1_genomic_prodigal_proteins	Enugrolinea_euryhalinus_PCC_7002	NA	71	67	95.95	5.41	65	Yes
GCA_000063505.1_ASM6350v1_genomic_prodigal_proteins	Pseudosynechococcus_pacificus_WH_7803	NA	71	69	95.95	2.70	68	Yes
GCA_000063525.1_ASM6352v1_genomic_prodigal_proteins	Inmanicoccus_mediterranei_RCC307	NA	73	72	98.65	1.35	71	Yes
GCA_000153045.1_ASM15304v1_genomic_prodigal_proteins	Regnicoccus_antarcticus_WH_5701	NA	73	65	98.65	12.16	64	Yes
GCA_000153065.1_ASM15306v1_genomic_prodigal_proteins	Pseudosynechococcus_equatorialis_RS9917	NA	73	72	98.65	1.35	71	Yes
GCA_000153285.1_ASM15328v1_genomic_prodigal_proteins	Pseudosynechococcus_subtropicalis_WH_7805	NA	72	71	97.30	1.35	69	Yes
GCA_000153805.1_ASM15380v1_genomic_prodigal_proteins	Parasynechococcus_nordiatlanticus_BL107	NA	71	69	95.95	2.70	66	Yes
GCA_000153825.1_ASM15382v1_genomic_prodigal_proteins	Pseudosynechococcus_gyrus_RS9916	NA	73	72	98.65	1.35	70	Yes
GCA_000161795.2_ASM16179v2_genomic_prodigal_proteins	Parasynechococcus_marearabicus_WH_8109	NA	73	72	98.65	1.35	70	Yes
GCA_000179235.2_ASM17923v2_genomic_prodigal_proteins	Magnicoccus_sudiatlanticus_CB0101	NA	73	72	98.65	1.35	72	Yes
GCA_000179255.1_ASM17925v1_genomic_prodigal_proteins	Magnicoccus_indicus_CB0205	NA	73	71	98.65	2.70	70	Yes
GCA_000195975.1_ASM19597v1_genomic_prodigal_proteins	Parasynechococcus_marenigrum_WH_8102	NA	73	72	98.65	1.35	69	Yes
GCA_000230675.2_ASM23067v1_genomic_prodigal_proteins	Pseudosynechococcus_sudipacificus_WH_8016	NA	71	69	95.95	2.70	69	Yes
GCA_000485815.1_ASM48581v1_genomic_prodigal_proteins	Enugrolinea_sp._NKBG15041c	NA	71	68	95.95	4.05	64	Yes
GCA_000505665.1_ASM50566v1_genomic_prodigal_proteins	Thermosynechococcus_sp._NK55a	NA	70	68	94.59	2.70	63	Yes
GCA_000515235.1_ASM51523v1_genomic_prodigal_proteins	Parasynechococcus_sp._CC9616	NA	72	70	97.30	2.70	69	Yes
GCA_000586015.1_SynSpo.0_genomic_prodigal_proteins	Synechospongium_sp._SH4	NA	68	66	91.89	2.70	59	Yes
GCA_000715475.1_ASM71547v1_genomic_prodigal_proteins	Enugrolinea_euryhalinus_NKBG042902	NA	71	67	95.95	5.41	65	Yes
GCA_000737535.1_ASM73753v1_genomic_prodigal_proteins	Parasynechococcus_sp._KORDI-100	NA	71	70	95.95	1.35	68	Yes
GCA_000737575.1_ASM73757v1_genomic_prodigal_proteins	Parasynechococcus_sp._KORDI-49	NA	73	72	98.65	1.35	69	Yes
GCA_000737595.1_ASM73759v1_genomic_prodigal_proteins	Parasynechococcus_sp._KORDI-52	NA	73	72	98.65	1.35	70	Yes
GCA_000817325.1_ASM81732v1_genomic_prodigal_proteins	Synechococcus_elongatus_UTEX_2973	NA	72	71	97.30	1.35	68	Yes
GCA_001007625.1_ASM100762v1_genomic_prodigal_proteins	Synechospongium_sp._142	NA	68	65	91.89	4.05	60	Yes
GCA_001007635.1_ASM100763v1_genomic_prodigal_proteins	Synechospongium_spongiarum_15L	NA	70	68	94.59	2.70	65	Yes
GCA_001007665.1_ASM100766v1_genomic_prodigal_proteins	Synechospongium_sp._SP3	NA	71	70	95.95	1.35	67	Yes
GCA_001039265.1_ASM103926v1_genomic_prodigal_proteins	Regnicoccus_sp._GFB01	NA	68	60	91.89	10.81	56	Yes
GCA_001040845.1_ASM104084v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._WH_8020	NA	73	70	98.65	4.05	69	Yes
GCA_001182765.1_WH8103.1_genomic_prodigal_proteins	Parasynechococcus_marenigrum_WH_8103	NA	73	72	98.65	1.35	69	Yes
GCA_001521855.1_ASM152185v1_genomic_prodigal_proteins	Enugrolinea_euryhalinus_PCC_73109	NA	71	67	95.95	5.41	65	Yes
GCA_001628295.1_ASM162829v1_genomic_prodigal_proteins	Parasynechococcus_sp._REDSEA-S01_B1	NA	70	69	94.59	1.35	66	Yes
GCA_001628325.1_ASM162832v1_genomic_prodigal_proteins	Parasynechococcus_sp._REDSEA-S02_B4	NA	70	69	94.59	1.35	65	Yes
GCA_001631935.1_ASM163193v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._MIT_S9509	NA	72	71	97.30	1.35	71	Yes
GCA_001632105.1_ASM163210v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._MIT_S9504	NA	72	71	97.30	1.35	71	Yes
GCA_001632165.1_ASM163216v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._MIT_S9508	NA	73	72	98.65	1.35	70	Yes
GCA_001693255.1_ASM169325v1_genomic_prodigal_proteins	Enugrolinea_sp._PCC_7003	NA	71	66	95.95	6.76	64	Yes
GCA_001693275.1_ASM169327v1_genomic_prodigal_proteins	Enugrolinea_euryhalinus_PCC_7117	NA	71	66	95.95	6.76	64	Yes
GCA_001693295.1_ASM169329v1_genomic_prodigal_proteins	Enugrolinea_euryhalinus_PCC_8807	NA	71	67	95.95	5.41	65	Yes
GCA_001885215.1_ASM188521v1_genomic_prodigal_proteins	Regnicoccus_sp._SynAce01	NA	72	69	97.30	4.05	69	Yes
GCA_002006815.1_ASM200681v1_genomic_prodigal_proteins	Lacustricoccus_lacustris_TousB	NA	70	69	94.59	1.35	68	Yes
GCA_002018015.1_ASM201801v1_genomic_prodigal_proteins	Synechospongium_spongiarum_LMB_bulk15N	NA	60	59	81.08	1.35	54	Yes
GCA_002018045.1_ASM201804v1_genomic_prodigal_proteins	Synechospongium_spongiarum_LMB_bulk15M	NA	65	64	87.84	1.35	61	Yes
GCA_002151525.1_ASM215152v1_genomic_prodigal_proteins	Lacustricoccus_sp._Lanier	NA	44	44	59.46	0.00	41	Yes
GCA_002167425.2_ASM216742v2_genomic_prodigal_proteins	Parasynechococcus_sp._TMED20	NA	62	59	83.78	4.05	58	Yes
GCA_002168155.1_ASM216815v1_genomic_prodigal_proteins	Inmanicoccus_sp._TMED19	NA	71	64	95.95	9.46	64	Yes
GCA_002170705.1_ASM217070v1_genomic_prodigal_proteins	Parasynechococcus_sp._TMED205	NA	48	48	64.86	0.00	44	Yes
GCA_002171075.2_ASM217107v2_genomic_prodigal_proteins	Inmanicoccus_sp._TMED155	NA	66	63	89.19	4.05	61	Yes
GCA_002171995.1_ASM217199v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._TMED187	NA	46	45	62.16	1.35	43	Yes
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	Inmanicoccus_mediterranei_TMED185	NA	51	50	68.92	1.35	50	Yes
GCA_002172175.1_ASM217217v1_genomic_prodigal_proteins	Inmanicoccus_sp._TMED169	NA	48	45	64.86	4.05	44	Yes
GCA_002172935.1_ASM217293v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._TMED90	NA	68	65	91.89	4.05	63	Yes
GCA_002252625.1_ASM225262v1_genomic_prodigal_proteins	Regnicoccus_sp._1G10	NA	72	71	97.30	1.35	70	Yes
GCA_002252635.1_ASM225263v1_genomic_prodigal_proteins	Regnicoccus_sp._MW101C3	NA	73	72	98.65	1.35	71	Yes
GCA_002252665.1_ASM225266v1_genomic_prodigal_proteins	Regnicoccus_sp._8F6	NA	73	71	98.65	2.70	69	Yes
GCA_002252675.1_ASM225267v1_genomic_prodigal_proteins	Regnicoccus_sp._BO_8801	NA	73	71	98.65	2.70	70	Yes
GCA_002356215.1_ASM235621v1_genomic_prodigal_proteins	Enugrolinea_sp._NIES-970	NA	71	68	95.95	4.05	66	Yes
GCA_002684175.1_ASM268417v1_genomic_prodigal_proteins	Parasynechococcus_sp._CPC35	NA	52	51	70.27	1.35	48	Yes
GCA_002685515.1_ASM268551v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._CPC100	NA	44	44	59.46	0.00	42	Yes
GCA_002690325.1_ASM269032v1_genomic_prodigal_proteins	Parasynechococcus_sp._ARS 1019	NA	57	50	77.03	9.46	48	Yes
GCA_002691345.1_ASM269134v1_genomic_prodigal_proteins	Parasynechococcus_sp._MED650	NA	54	48	72.97	8.11	45	Yes
GCA_002693285.1_ASM269328v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._EAC657	NA	64	58	86.49	8.11	57	Yes
GCA_002698505.1_ASM269850v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._NAT40	NA	70	66	94.59	5.41	65	Yes
GCA_002700765.1_ASM270076v1_genomic_prodigal_proteins	Parasynechococcus_sp._MED850	NA	61	55	82.43	8.11	49	Yes
GCA_002706715.1_ASM270671v1_genomic_prodigal_proteins	Parasynechococcus_sp._SAT82	NA	51	49	68.92	2.70	47	Yes
GCA_002721235.1_ASM272123v1_genomic_prodigal_proteins	Enugrolinea_euryhalinus_BDU_130192	NA	71	66	95.95	6.76	64	Yes
GCA_002724845.1_ASM272484v1_genomic_prodigal_proteins	Parasynechococcus_sp._RS344	NA	63	61	85.14	2.70	59	Yes
GCA_002729835.1_ASM272983v1_genomic_prodigal_proteins	Pseudosynechococcus_sp._NP17	NA	63	60	85.14	4.05	59	Yes
GCA_002737305.1_ASM273730v1_genomic_prodigal_proteins	Regnicoccus_sp._Baikal-G1	NA	70	67	94.59	4.05	64	Yes
GCA_002754935.1_ASM275493v1_genomic_prodigal_proteins	Thermosynechococcus_sp._PCC_6715	NA	71	70	95.95	1.35	65	Yes
GCA_002760345.1_ASM276034v1_genomic_prodigal_proteins	Leptococcus_yellowstonii_65AY6Li	NA	73	70	98.65	4.05	66	Yes
