Genome A	Genes in A	Genome B	Genes in B	# orthologous genes	Mean AAI	Std AAI	Orthologous fraction (OF)
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003208815.1_ASM320881v1_genomic_prodigal_proteins	1352	405	64.01	13.99	29.96
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000153825.1_ASM15382v1_genomic_prodigal_proteins	2811	1026	66.05	14.39	61.44
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002760475.1_ASM276047v1_genomic_prodigal_proteins	2647	566	53.24	11.61	33.89
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003210775.1_ASM321077v1_genomic_prodigal_proteins	2665	727	63.83	14.70	43.53
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003846445.1_ASM384644v1_genomic_prodigal_proteins	2740	719	56.02	13.05	43.05
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002170705.1_ASM217070v1_genomic_prodigal_proteins	1392	508	65.74	13.53	36.49
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003210535.1_ASM321053v1_genomic_prodigal_proteins	1257	397	63.36	14.29	31.58
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002760375.1_ASM276037v1_genomic_prodigal_proteins	2702	566	53.24	11.62	33.89
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003211455.1_ASM321145v1_genomic_prodigal_proteins	1186	419	65.43	14.81	35.33
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_001632165.1_ASM163216v1_genomic_prodigal_proteins	2830	1006	65.29	14.13	60.24
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_004332405.1_ASM433240v1_genomic_prodigal_proteins	2437	1019	65.94	14.30	61.02
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_900473975.1_N26_genomic_prodigal_proteins	2454	1001	65.92	14.44	59.94
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000063505.1_ASM6350v1_genomic_prodigal_proteins	2558	1034	65.42	14.45	61.92
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002698505.1_ASM269850v1_genomic_prodigal_proteins	2471	955	65.04	14.22	57.19
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002691345.1_ASM269134v1_genomic_prodigal_proteins	2078	832	64.23	13.70	49.82
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002252665.1_ASM225266v1_genomic_prodigal_proteins	2771	1004	66.76	13.71	60.12
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_900474015.1_UW106_genomic_prodigal_proteins	2762	1031	65.36	14.50	61.74
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000715475.1_ASM71547v1_genomic_prodigal_proteins	3299	672	53.49	12.60	40.24
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_001628295.1_ASM162829v1_genomic_prodigal_proteins	2145	943	66.02	14.25	56.47
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003208775.1_ASM320877v1_genomic_prodigal_proteins	1808	604	64.54	14.50	36.17
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003208915.1_ASM320891v1_genomic_prodigal_proteins	1208	363	63.91	14.43	30.05
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002172935.1_ASM217293v1_genomic_prodigal_proteins	1996	799	64.47	14.18	47.84
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_004209775.1_ASM420977v1_genomic_prodigal_proteins	2798	1037	66.14	14.21	62.10
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000153805.1_ASM15380v1_genomic_prodigal_proteins	2517	995	64.86	14.26	59.58
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003283205.1_ASM328320v1_genomic_prodigal_proteins	274	10	52.80	13.32	3.65
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_900473925.1_N5_genomic_prodigal_proteins	2417	992	65.83	14.45	59.40
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003211015.1_ASM321101v1_genomic_prodigal_proteins	2128	752	65.28	13.84	45.03
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000013205.1_ASM1320v1_genomic_prodigal_proteins	2750	574	53.33	11.59	34.37
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003957805.1_ASM395780v1_genomic_prodigal_proteins	2887	736	56.18	12.86	44.07
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_001693255.1_ASM169325v1_genomic_prodigal_proteins	3177	678	53.51	12.55	40.60
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003210385.1_ASM321038v1_genomic_prodigal_proteins	286	100	62.96	14.85	34.97
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002356215.1_ASM235621v1_genomic_prodigal_proteins	2953	664	53.33	12.57	39.76
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002760445.1_ASM276044v1_genomic_prodigal_proteins	2661	565	53.20	11.66	33.83
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003210315.1_ASM321031v1_genomic_prodigal_proteins	1815	651	63.52	14.63	38.98
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002724845.1_ASM272484v1_genomic_prodigal_proteins	1589	733	65.78	14.33	46.13
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003211035.1_ASM321103v1_genomic_prodigal_proteins	530	220	63.07	14.71	41.51
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_001521855.1_ASM152185v1_genomic_prodigal_proteins	3144	680	53.44	12.54	40.72
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000737535.1_ASM73753v1_genomic_prodigal_proteins	3013	1018	65.12	14.13	60.96
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000586015.1_SynSpo.0_genomic_prodigal_proteins	1907	582	61.91	12.91	34.85
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003149585.1_ASM314958v1_genomic_prodigal_proteins	2600	1037	66.94	13.70	62.10
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000013225.1_ASM1322v1_genomic_prodigal_proteins	2844	581	53.26	11.71	34.79
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000332275.1_ASM33227v1_genomic_prodigal_proteins	4564	641	52.20	11.97	38.38
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002252675.1_ASM225267v1_genomic_prodigal_proteins	3295	1006	66.12	13.59	60.24
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000737575.1_ASM73757v1_genomic_prodigal_proteins	2662	1037	65.92	13.95	62.10
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003331245.1_ASM333124v1_genomic_prodigal_proteins	2021	890	65.36	13.79	53.29
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_001007625.1_ASM100762v1_genomic_prodigal_proteins	2478	650	61.87	13.09	38.92
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_001007635.1_ASM100763v1_genomic_prodigal_proteins	2333	669	61.94	12.64	40.06
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000179255.1_ASM17925v1_genomic_prodigal_proteins	2729	1031	67.02	13.68	61.74
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_001885215.1_ASM188521v1_genomic_prodigal_proteins	2897	993	65.76	13.49	59.46
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000153045.1_ASM15304v1_genomic_prodigal_proteins	3242	1025	65.88	13.77	61.38
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002018045.1_ASM201804v1_genomic_prodigal_proteins	1559	601	62.82	12.83	38.55
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000012505.1_ASM1250v1_genomic_prodigal_proteins	2461	993	65.06	14.20	59.46
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003210375.1_ASM321037v1_genomic_prodigal_proteins	2155	708	64.43	14.23	42.40
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_004332415.1_ASM433241v1_genomic_prodigal_proteins	2408	1021	65.99	14.16	61.14
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_900474045.1_N19_genomic_prodigal_proteins	2484	991	65.77	14.36	59.34
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_001628325.1_ASM162832v1_genomic_prodigal_proteins	2129	934	66.11	14.31	55.93
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002760415.1_ASM276041v1_genomic_prodigal_proteins	2670	566	53.17	11.65	33.89
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002754935.1_ASM275493v1_genomic_prodigal_proteins	2664	610	53.95	12.15	36.53
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002171685.2_ASM217168v2_genomic_prodigal_proteins	811	440	65.26	13.63	54.25
